,"Шаг 1: В стакан большой ""бамбл Б"" положить: 3 дольки лимона, 3 дольки апельсин, большую щепотку мяты
Шаг 2: Отжать содержимое мадлером в стакане 
Шаг 3: Добавить лёд в стакан, наполнив стакан доверху
Шаг 4: Добавить сахарный сироп, сироп гринадин 
Шаг 5: Залить газированной водой до верха стакана 
Шаг 6: Взять барную ложку и размешать цитрусы, подняв их со дна стакана 
Шаг 7: Закрыть крышкой стакан, отдать напиток гостю. Готово!",,,,"Шаг 1: Стакан большой ""бамбл Б"" наполнить льдом до верха
Шаг 2: В питчер добавить: молоко по носик, матча одну ложку
Шаг 3: Тщательно перемешать содержимое, чтобы не было комочков
Шаг 4: Взбить молоко до стандартной температуры и вылить содержимое в стакан со льдом
Шаг 5: Закрыть крышкой стакан, отдать напиток гостю. Готово!",,,,"Шаг 1: Добавить в блендер: 4 кубика льда, растительные сливки, молоко
*если заказал гость с сиропом: добавить сироп в эту же емкость 20 мл
Шаг 2: Взбить содержимое и налить в стакан большой ""бамбл Б"", закрыть крышкой стакан. Отдать напиток гостю. ",,,,"Шаг 1: В стакан большой ""бамбл Б"" добавить: 4 дольки лайма
Шаг 2: Добавить одну ложку тростникового сахара (важно!) на лайм
Шаг 3: Добавить мяту, чтобы она занимала 1/3 стакана
Шаг 4: Тщательно подавить мадлером до полного отжатия лайма и мяты  
Шаг 5: Добавить доверху лед в стакан, поверх добавить мяту и налить Спрайт 
Шаг 6: Погрузить ложку в стакан и перемешать, подняв содержимое со дна стакана"

"


  КОФЕЙНЫЕ НАПИТКИ",   КОФЕЙНЫЕ НАПИТКИ
,Американо АЙС,,,,"Капучино Альт. Холод
",,,,Латте АЙС  / Латте Айс Декаф
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Зерно бункер,19,гр,,Альт молоко,195,гр,,Зерно бункер  /  зерно бункер декаф,11,гр
,выход,19,гр,,Зерно бункер,19,гр,,Молоко,150,гр
,,,,,Сироп (по желанию гостя),20,гр,,Сливки растительные,70,гр
,,,,,выход,234,гр,,Сироп сахарный,20,гр
,"Это холодное Американо, полный стакан льда и двойная порция эспрессо
",,,,,,,,Топпинг (украшение),10,гр
,,,,,,,,,выход,261,гр
,,,,,"Капучино на альтернативном – это холодный капучино. 
Не перебивается в блендере и идет у нас только на альтернативном молоке",,,,"Айс Латте у нас идет только в большом объеме и отличается от других кофеен тем, что мы Айс Латте перебиваем в блендере. По вкусу похож на фраппучино"
,"Шаг 1: Приготовить американо в питчере
Шаг 2: Взять стакан маленький ""бамбл М"" и заполнить доверху льдом 
Шаг 3: Влить американо в стакан со льдом, закрыть крышкой и отдать гостю заказ. Готово!   ",,,,"Шаг 1: Стакан большой ""бамбл Б"" наполнить льдом
Шаг 2: Приготовить двойной эспрессо в питчер, добавить альтернативное молоко по носик питчера
*по желанию гостя добавляем сироп 20 мл
Шаг 3: Взбить всё содержимое и влить в стакан со льдом
Шаг 5: Перемешать барной ложкой молоко с сиропом (если заказ с сиропом) и влить двойной эспрессо
Шаг 6: Закрыть крышкой и отдать гостю заказ. ",,,,"Шаг 1: Приготовить эспрессо в маленький питчер
Шаг 2: Добавить в блендер: 4 кубика льда, растительные сливки, молоко, сахарный сироп (или сироп по желанию гостя)
Шаг 3: Взбить содержимое блендере.
Важно! Необходимо добиться однородной консистенции. Поэтому используем настройки на Blendtec ""режим 5""
Шаг 4: Готовый напиток перелить в стакан большой купол и закрыть крышкой. Заказ отдать гостю."

,Хорнет,,,,Хорнет Б,,,,Хорнет на Фреше
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Зерно бункер,11,гр,,Зерно бункер,19,гр,,Зерно бункер,11,гр
,Сироп карамельный,20,гр,,Сироп карамельный,20,гр,,Сироп карамельный,20,гр
,"Сок (на выбор: апельсин, гранат, вишня)",250,гр,,"Сок (на выбор: апельсин, гранат, вишня)",240,гр,,Апельсин,650,гр
,выход,281,гр,,выход,279,гр,,выход,681,гр
,"          Хорнет – это кофе с добавлением сока. На выбор три сока – апельсиновый, вишневый и гранатовый. 
          Сам напиток будет состоять из эспрессо, сока и сиропа. 
          Объем 250 и 500 мл",,,,,,,,"Хорнет на Фреше аналогичен по содержимому, только идет свежевыжатый сок и только в маленьком объеме 250 мл"
,"Шаг 1: Стакан маленький ""бамбл М"" наполнить льдом до верха
Шаг 2: Добавить карамельный сироп
Шаг 3: Приготовить эспрессо в питчер и влить в стакан со льдом 
Шаг 4: Залить сок до верха, перемешать, закрыть крышкой стакан и отдать напиток гостю",,,,"Шаг 1: Стакан большой ""бамбл Б"" наполнить льдом до верха
Шаг 2: Добавить карамельный сироп
Шаг 3: Приготовить две порции эспрессо в питчер и влить в стакан со льдом 
Шаг 4: Залить сок до верха, перемешать, закрыть крышкой стакан и отдать напиток гостю",,,,"Шаг 1: Стакан маленький ""бамбл М"" наполнить льдом до верха
Шаг 2: Выдавить сок апельсина с помощью соковыжималки (3-4 апельсина) и влить в стакан
Шаг 3: Добавить карамельный сироп
Шаг 4: Приготовить порцию эспрессо в питчер и влить в стакан со льдом 
Шаг 5: Перемешать, закрыть крышкой стакан и отдать напиток гостю"

,Эспрессо Тоник с лаймом,,,,Эспрессо Тоник с лаймом Б,,,,Эспрессо тоник с сиропом,,,,Эспрессо тоник с сиропом Б
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Зерно бункер,11,гр,,Зерно бункер,19,гр,,Зерно бункер,11,гр,,Зерно бункер,19,гр
,Тоник,180,гр,,Тоник,200,гр,,Тоник,180,гр,,Тоник,200,гр
,Лайм,10,гр,,Лайм,15,гр,,Сироп маракуйя,20,гр,,Сироп маракуйя,30,гр
,Лимон,10,гр,,Лимон,15,гр,,выход,211,гр,,выход,249,гр
,Сахар тростниковый,10,гр,,Сахар тростниковый,10,гр
,выход,221,гр,,выход,259,гр
,"Эспрессо тоник это напиток, который сочетает в себе тоник, эспрессо и лайм с лимоном",,,,,,,,"Эспрессо тоник это напиток, который сочетает в себе тоник, эспрессо и сироп Маракуйя"
,"Шаг 1: Стакан маленький ""бамбл М"" наполняем льдом до верха
Шаг 2: Добавить дольку лайма и ложку тростникового сахара
Шаг 3: Приготовить эспрессо в питчере и влить в стакан со льдом 
Шаг 4: Залить тоник до верха
Шаг 5: Закрыть крышкой стакан и отдать напиток гостю",,,,"Шаг 1: Стакан большой ""бамбл Б""  наполняем льдом до верха
Шаг 2: Добавить 2 дольки лайма, 2 дольки лимона и 2 ложки тростникового сахара
Шаг 3: Приготовить две порции эспрессо в питчере и влить в стакан со льдом 
Шаг 4: Залить тоник до верха, закрыть крышкой стакан и отдать напиток гостю",,,,"Шаг 1: Стакан маленький ""бамбл М"" наполняем льдом до верха и добавляем сироп Маракуйя
Шаг 2: Приготовить эспрессо в питчер и влить в стакан со льдом 
Шаг 3: Залить тоник до верха и перемешать барной ложкой
Шаг 4: Закрыть крышкой стакан и отдать напиток гостю",,,,"Шаг 1: Стакан большой ""бамбл Б"" наполняем льдом до верха и добавляем сироп Маракуйя
Шаг 2: Приготовить две порции эспрессо в питчер и влить в стакан со льдом 
Шаг 3: Залить тоник до верха и перемешать барной ложкой
Шаг 4: Закрыть крышкой стакан и отдать напиток гостю"
