Наименование,Цена
Молочный шоколад МОЛОЧНЫЙ ЭРИТРИТ,530.0
Темный шоколад ПЕРУАНСКАЯ ВИШНЯ,530.0
Плитка Шмель Б.ш. / 50 гр,500.0
Молочный шоколад ГРЕЧИШКА,480.0
Темный шоколад Индонезия West Bali 70%,500.0
Темный шоколад Мексика Tabasco Lavado 70%,560.0
Горячий шоколад в стружке МОЛОЧНЫЙ НА БАЗУ 59% (300 г),1510.0
Белый шоколад ПЛАНЕТА АРАХИС,470.0
Хозка на продажу, 
Пакет крафт,25.0
Вилка,10.0
Бокс крафт М,30.0
Бокс крафт с ручками Б,50.0
Ланчбокс пластик М,15.0
Ланчбокс пластик Б,15.0
Стакан 250,30.0
Стакан 350,50.0
Стакан пластик 300 мл,40.0
Стакан пластик 400 мл,40.0
Мой Чай, 
"Чай ""Алтай"" травяной сбор 100 гр",950.0
"Чай ""Габа Иван чай"" 80 гр",650.0
"Чай ""Закатный ветер"" 80 гр",650.0
"Чай ""Иван в красном халате"" 80 гр",550.0
Чай «Дед» 80 гр,460.0
Чай «Каркаде» 80 гр,500.0
Чай с чабрецом «Крепкая дружба» 80 гр,350.0
Чай с пряностями Тарусское чаепите «Петушок» 80 гр,700.0
Чай с травами и ягодами «Сорока Ворона» 80 гр,650.0
Чай травяной «Аууу» 80 гр,600.0
Чай «Бабка» с корнеплодами 80 гр,600.0
"Чай «Буян», 80 гр",500.0
Чай «ГорМа» 80 гр,500.0
Чай «Деревенский» 50 гр,250.0
Чай «Дивный» 80 гр,600.0
Чай «Зов Духа» 80 гр,600.0
Чай «Лесная тишь» 80 гр,550.0
Чай «Леший» с мухомором 80 гр,650.0
Чай травяной «Мох» 80 гр,650.0
Чай «Обитель» 50 гр,250.0
Чай «Посконный» конопля + хмель 80 гр,710.0
Чай «Радость» 80 гр,600.0
Чай «Согревающий» 50 гр,250.0
Чай «Таёжный» 50 гр,300.0
Чай «Теплые Созвездия» 80 гр,600.0
Чай «Традиционный» 80 гр,520.0
Чай «Хвойная диковина» 80 гр,600.0
Чай-глинтвейн «Романтика» 80 гр,500.0
Чёрный чай с чабрецом 50 гр,250.0
Чай «Шуликун» 80 гр,500.0
Чай рассыпной «Лесные тропы» 25 гр,150.0
Чай рассыпной «Радость Жизни» 25 гр,150.0
Чай рассыпной «Тихо Внутри» 25 гр,150.0
Чай рассыпной «Шёпот трав» 25 гр,150.0
"Чай с пряностями ""Чай-Глинтвейн"" 50 гр",360.0
"Чай с травами ""Тонизирующий"" 50 гр",330.0
Чай рассыпной «Доброе тепло» 25 гр,150.0
Чай «Женский» 80 гр,500.0
