,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчет по продажам,,,,,,,,,,,,,,,,,,,,,,,,,,
12.03.2026-29.03.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Наша компания: Все юридические лица,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Детализация: Склад, Номенклатура",,,,,,,,,,,,,,,,,,,,,,,,,,
Построен: 30.03.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Кол-во,Ед. изм.,Закупочные цены,,Наценка,,,Продажа,,,,,,,,,,,,,,,,,
,,,,Себест.,Сумма себест.,Наценка %,Сумма наценки,Доля наценки,"Доля, %",Ср. цена,Сумма,,,,,,,,,,,,,,,
Дрип Бурунди Нкизи 10 шт,0,1.0,шт,,,,699.0,,,699.0,699.0,,,,,,,,,,,,,,,
Дрип Микролот Tasty (85+) / 1 шт.,0,4.0,шт,,,,680.0,,,170.0,680.0,,,,,,,,,,,,,,,
Дрип Бразилия Суль-де-Минас 10 шт,0,1.0,шт,,,,619.0,,,619.0,619.0,,,,,,,,,,,,,,,
Темный шоколад УГАНДА 88%,0,1.0,шт,,,,600.0,,,600.0,600.0,,,,,,,,,,,,,,,
Чайник Апельсиновый,0,1.0,шт,34.88,34.88,1620.18,565.12,,,600.0,600.0,,,,,,,,,,,,,,,
Эспрессо тоник с сиропом,0,2.0,шт,19.1,38.2,1418.32,541.8,,,290.0,580.0,,,,,,,,,,,,,,,
Дрип Бэрри 10 шт,0,1.0,шт,,,,579.0,,,579.0,579.0,,,,,,,,,,,,,,,
Чай глинтвейн 100 гр,0,1.0,шт,,,,569.0,,,569.0,569.0,,,,,,,,,,,,,,,
Темный шоколад БРАЗИЛИЯ / 66% какао,0,1.0,шт,,,,510.0,,,510.0,510.0,,,,,,,,,,,,,,,
Темный шоколад НА КОКОСЕ Semuliki / 70% какао,0,1.0,шт,370.0,370.0,37.84,140.0,,,510.0,510.0,,,,,,,,,,,,,,,
Темный шоколад ТАНЗАНИЯ 70%,0,1.0,шт,,,,510.0,,,510.0,510.0,,,,,,,,,,,,,,,
Темный шоколад ПРЯНАЯ КЛУБНИКА,0,1.0,шт,,,,500.0,,,500.0,500.0,,,,,,,,,,,,,,,
Темный шоколад ТАИЛАНД 68%,0,1.0,шт,,,,500.0,,,500.0,500.0,,,,,,,,,,,,,,,
"Вода Байкал 0,45 л",0,4.0,шт,,,,480.0,,,120.0,480.0,,,,,,,,,,,,,,,
Лимон / 10 гр,0,24.0,шт,,,,480.0,,,20.0,480.0,,,,,,,,,,,,,,,
Молочный шоколад ТАЙНА ВОНКИ,0,1.0,шт,,,,480.0,,,480.0,480.0,,,,,,,,,,,,,,,
Темный шоколад ЛИМОННЫЙ БАЗИЛИК,0,1.0,шт,350.0,350.0,37.14,130.0,,,480.0,480.0,,,,,,,,,,,,,,,
Хорнет на Фреше,0,1.0,шт,19.1,19.1,2413.09,460.9,,,480.0,480.0,,,,,,,,,,,,,,,
"Шоколад  НА КУСЬ / Tasty, 5г",0,15.0,шт,,,,450.0,,,30.0,450.0,,,,,,,,,,,,,,,
Смузи Клубника-банан,0,1.0,шт,111.1,111.1,259.14,287.9,,,399.0,399.0,,,,,,,,,,,,,,,
Капучино Альт. Холод,0,1.0,шт,19.1,19.1,1941.88,370.9,,,390.0,390.0,,,,,,,,,,,,,,,
Чай Лимон с имбирем 100 гр,0,1.0,шт,,,,389.0,,,389.0,389.0,,,,,,,,,,,,,,,
Матча айс,0,1.0,шт,94.3,94.3,302.97,285.7,,,380.0,380.0,,,,,,,,,,,,,,,
Американо декаф М,0,2.0,шт,1.54,3.08,11588.31,356.92,,,180.0,360.0,,,,,,,,,,,,,,,
Кофе альт молоко М персонал,0,4.0,шт,,,,360.0,,,90.0,360.0,,,,,,,,,,,,,,,
Чай Сенча 100 гр,0,1.0,шт,,,,350.0,,,350.0,350.0,,,,,,,,,,,,,,,
Эспрессо тоник с сиропом Б,0,1.0,шт,27.5,27.5,1136.36,312.5,,,340.0,340.0,,,,,,,,,,,,,,,
АЙС ТИ,0,1.0,шт,19.1,19.1,1627.75,310.9,,,330.0,330.0,,,,,,,,,,,,,,,
Чай Апельсин АЙС,0,1.0,шт,19.1,19.1,1627.75,310.9,,,330.0,330.0,,,,,,,,,,,,,,,
Сливки / 50 гр,0,5.0,шт,1.79,8.95,3251.96,291.05,,,60.0,300.0,,,,,,,,,,,,,,,
Эспрессо Тоник с лаймом,0,1.0,шт,8.4,8.4,3352.38,281.6,,,290.0,290.0,,,,,,,,,,,,,,,
Лунго,0,2.0,шт,3.09,6.17,4438.09,273.83,,,140.0,280.0,,,,,,,,,,,,,,,
Альтернативное молоко / 50 гр,0,3.0,шт,,,,270.0,,,90.0,270.0,,,,,,,,,,,,,,,
Дрип микс 1 шт. TASTY,0,2.0,шт,,,,270.0,,,135.0,270.0,,,,,,,,,,,,,,,
Стакан 250,0,9.0,шт,,,,270.0,,,30.0,270.0,,,,,,,,,,,,,,,
Американо декаф Б,0,1.0,шт,9.94,9.94,2415.09,240.06,,,250.0,250.0,,,,,,,,,,,,,,,
Доппио декаф,0,1.0,шт,8.54,8.54,2827.4,241.46,,,250.0,250.0,,,,,,,,,,,,,,,
Сок стакан на розлив,0,2.0,шт,7.0,14.0,1614.29,226.0,,,120.0,240.0,,,,,,,,,,,,,,,
Добавка шоколад Ристора / 15 гр,0,2.0,шт,,,,180.0,,,90.0,180.0,,,,,,,,,,,,,,,
Стакан пластик 300 мл,0,3.0,шт,,,,120.0,,,40.0,120.0,,,,,,,,,,,,,,,
Кофе персонал,0,2.0,шт,1.28,2.56,3806.25,97.44,,,50.0,100.0,,,,,,,,,,,,,,,
Мед / 15 гр,0,2.0,шт,,,,100.0,,,50.0,100.0,,,,,,,,,,,,,,,
Сгущенка / 20 гр,0,1.0,шт,,,,50.0,,,50.0,50.0,,,,,,,,,,,,,,,
Пакет крафт,0,1.0,шт,8.4,8.4,197.62,16.6,,,25.0,25.0,,,,,,,,,,,,,,,
Мята / 2-3 лист.,0,2.0,шт,,,,20.0,,,10.0,20.0,,,,,,,,,,,,,,,
Стакан 350 (персонал),0,1.0,шт,6.1,6.1,14.75,0.9,,,7.0,7.0,,,,,,,,,,,,,,,
Настройка помола двойник,0,14.0,шт,,,,,,,,,,,,,,,,,,,,,,,
