,,,,,,,,,,,,,,,
Остатки на дату,,,,,,,,,,,,,,,
29.03.2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Наша компания: Наша компания,,,,,,,,,,,,,,,
Остатки: на вечер,,,,,,,,,,,,,,,
Детализация: Номенклатура,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Построен: 31.03.2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Кол-во,Ед. изм.,,,,,,,,,,,,,
Пакет бумажный мал. 110*50*250 ,945.0,шт,,,,,,,,,,,,,
Пакет бумажный мал. 170*60*250 ,930.0,шт,,,,,,,,,,,,,
Пакет полипропилен (для Орешков) ,3.0,упак,,,,,,,,,,,,,
Пакеты для мусора 160л ,19.0,упак,,,,,,,,,,,,,
Пакеты для мусора 60 ,15.0,упак,,,,,,,,,,,,,
Пергамент ,3.0,шт,,,,,,,,,,,,,
"Перчатки нитриловые черные S NITRIMAX (1уп=100шт) (1пак=10уп.), уп. ",1.0,упак,,,,,,,,,,,,,
Перчатки П/Э OL ,21.0,упак,,,,,,,,,,,,,
"Перчатки эластомер  размер L (100шт/уп)(100уп/пак), уп. ",2.0,упак,,,,,,,,,,,,,
Подстаканник на 2 ,211.0,шт,,,,,,,,,,,,,
Подстаканник на 4 ,147.0,шт,,,,,,,,,,,,,
Салфетка белая 24х24 (1 уп/5 шт) ,53.0,шт,,,,,,,,,,,,,
Салфетки из микрофибры 30х30 ,32.0,шт,,,,,,,,,,,,,
Средство для мытья посуды 5л HORECA ,4.0,шт,,,,,,,,,,,,,
Средство для чистки стекол и зеркал FOREST clean ,3.0,шт,,,,,,,,,,,,,
"Туалетная бумага ""Джамбо"" (1уп/12 шт) ",11.0,шт,,,,,,,,,,,,,
Чековая лента ,107.0,шт,,,,,,,,,,,,,
Расходники / Закуп ,1707.791,,,,,,,,,,,,,,
"Альт молоко 1л закуп (вес уп 50 гр), на розлив ",132.715,л,,,,,,,,,,,,,
Апельсин (Закуп) ,42.363,кг,,,,,,,,,,,,,
Бутон пагода (красный чай) ,1.0,шт,,,,,,,,,,,,,
"Варенье (Закуп), на розлив ",3.799,кг,,,,,,,,,,,,,
Дрип бар Поштучно (Закуп) ,324.0,шт,,,,,,,,,,,,,
Дрип бар Поштучно 85+ (Закуп) Микролот ,9.0,шт,,,,,,,,,,,,,
Зерно Бункер Батч (Закуп) ,0.486,кг,,,,,,,,,,,,,
Зерно бункер декаф (Закуп) ,0.494,кг,,,,,,,,,,,,,
Зерно Бункер Флорал (Закуп) ,165.622,кг,,,,,,,,,,,,,
Какао Ristora (Закуп) ,17.947,кг,,,,,,,,,,,,,
Кедровый орех (Закуп) ,4.184,кг,,,,,,,,,,,,,
Лайм (Закуп) ,0.919,кг,,,,,,,,,,,,,
Лимон (Закуп) ,9.539,кг,,,,,,,,,,,,,
Маршмелоу закуп ,0.854,кг,,,,,,,,,,,,,
Матча (Закуп) ,0.361,кг,,,,,,,,,,,,,
Мед (Закуп) ,-0.015,кг,,,,,,,,,,,,,
"Минеральная вода (Закуп), на розлив ",9.1,л,,,,,,,,,,,,,
Молоко (Закуп) ,325.41,шт,,,,,,,,,,,,,
Пуэр бомбочка ,259.0,шт,,,,,,,,,,,,,
Пуэр весовой (Закуп) ,0.281,кг,,,,,,,,,,,,,
Сахар песок закуп ,19.49,кг,,,,,,,,,,,,,
Сахар тростниковый (Закуп) ,6.107,кг,,,,,,,,,,,,,
Сгущёнка (Закуп) ,5.208,кг,,,,,,,,,,,,,
"Сироп (Закуп), на розлив ",77.364,кг,,,,,,,,,,,,,
"Сливки 10% 1 литр (Закуп), на розлив ",26.79,л,,,,,,,,,,,,,
"Сливки растительные 1л (Закуп), на розлив ",16.878,л,,,,,,,,,,,,,
"Сок 1л (Закуп) (вес уп 60 гр), на розлив ",230.35,л,,,,,,,,,,,,,
"Спрайт (Закуп), на розлив ",6.4,л,,,,,,,,,,,,,
"Тоник (Закуп), на розлив ",20.26,л,,,,,,,,,,,,,
Топпинг (украшение) ,-13.0,шт,,,,,,,,,,,,,
Улун весовой (Закуп) ,0.16,кг,,,,,,,,,,,,,
Чай весовой (Закуп) ,4.725,кг,,,,,,,,,,,,,
Учтенные товары (хорека) ,15451.0,,,,,,,,,,,,,,
Крышка 80 (50) ,1306.0,шт,,,,,,,,,,,,,
Крышка 90 (50) ,1337.0,шт,,,,,,,,,,,,,
Мешалка дерево премиум 1 шт ,3906.0,шт,,,,,,,,,,,,,
Сахар стик 5 г (Закуп) 1уп=200шт ,2812.0,шт,,,,,,,,,,,,,
Стакан 250 закуп ,1036.0,шт,,,,,,,,,,,,,
Стакан 350 закуп ,1131.0,шт,,,,,,,,,,,,,
Стакан бабл Б 500 мл (Закуп) 1 уп/25 шт ,253.0,шт,,,,,,,,,,,,,
Стакан бабл М 300 мл (Закуп) 1уп/25 шт ,442.0,шт,,,,,,,,,,,,,
Стакан эспрессо (Закуп) ,267.0,шт,,,,,,,,,,,,,
Трубочка индивид. (Закуп) ХОРЕКА ,2961.0,шт,,,,,,,,,,,,,
Хозка на продажу ,816.0,,,,,,,,,,,,,,
Бокс крафт М ,174.0,шт,,,,,,,,,,,,,
