Наименование,Общее кол-во,Луговая,Тургенева,Самокиша
Колумбия Декаф 1кг,2.0,,1.0,1.0
Коста Рика Сан Хосе 1 кг,1.0,1.0,,
Кэнди 1 кг,17.0,5.0,10.0,2.0
Натти 1кг,15.0,2.0,10.0,3.0
Руанда Кигали 1кг,2.0,2.0,,
Флорал 1кг,8.0,,8.0,
Фрутти 1кг,3.0,,2.0,1.0
Хани 1 кг,10.0,,8.0,2.0
Эфиопия Гуджи  1 кг,10.0,6.0,4.0,
Эфиопия Иргачефф 1кг,35.0,4.0,23.0,8.0
Эфиопия Оромия 1кг,4.0,,2.0,2.0
Ягодный джем 1 кг,7.0,2.0,2.0,3.0
Зерно фильтр 250 гр,,,,
Бразилия Сульдеминас 250,13.0,1.0,11.0,1.0
Гватемала Сантьяго 250,13.0,2.0,5.0,6.0
Индонезия Суматра Гайо,5.0,,,5.0
Кения Маунт 250 гр,15.0,3.0,3.0,9.0
Колумбия Уила 250,21.0,5.0,11.0,5.0
Компетишн Йемен Хайма Анаэробный 100 гр,4.0,,4.0,
Компетишн Колумбия Гейша Хардинес Дель Эден 100 гр,1.0,,,1.0
Руанда Киву 250 гр,4.0,2.0,,2.0
Эфиопия сидамо 250,20.0,3.0,8.0,9.0
Зерно эспрессо 250 гр,,,,
Батч-брю Лоукаф 250 гр,20.0,,15.0,5.0
Бразилия серрадо 250,20.0,3.0,11.0,6.0
Брауни 250,15.0,2.0,12.0,1.0
Бэрри 250,1.0,1.0,,
Гватемала Фуэго 250,20.0,4.0,9.0,7.0
Кения Найроби 250 гр,15.0,,5.0,10.0
Колумбия Богота 250,14.0,,7.0,7.0
Колумбия Декаф 250,5.0,,,5.0
Коста Рика сан Хосе 250,30.0,5.0,14.0,11.0
Кэнди 250,23.0,5.0,9.0,9.0
Натти 250,17.0,2.0,9.0,6.0
Фанки 250,16.0,5.0,7.0,4.0
Флорал 250,20.0,5.0,5.0,10.0
Фрутти 250,1.0,,,1.0
Хани 250 гр,16.0,1.0,9.0,6.0
Эфиопия Иргачефф 250,31.0,6.0,16.0,9.0
Эфиопия Оромия 250,21.0,5.0,7.0,9.0
Субмарина 250 гр / 1 кг,,,,
