,,,,,,,,,,,
ABC и XYZ анализ,,,,,,,,,,,
01.04.2026-30.04.2026,,,,,,,,,,,
,,,,,,,,,,,
"Раздел каталога: Вода / Сок / Батончики, Десерты, Еда, Какао / Шоколад в банке Tasty, Дрипы, Субмарина ДРИПЫ, Субмарина 250 гр / 1 кг, Зерно фильтр 250 гр, Зерно эспрессо 250 гр, Зерно 1 кг, Чай 100 гр Tasty, Шоколад Unicava, НАПИТКИ, Мой Чай",,,,,,,,,,,
Наша компания: Наша компания,,,,,,,,,,,
,,,,,,,,,,,
Детализация: Номенклатура,,,,,,,,,,,
"Группы: A: 80, B: 15, C: 5; период: месяц",,,,,,,,,,,
Построен: 17.04.2026,,,,,,,,,,,
,,,,,,,,,,,
,Сумма,,Количество,,,Наценка,,Цена,Себест.,Сумма себест.,"Доля себест, %"
,,,,Ед. изм.,,,,,,,
Американо альт. М,840.0,C,4.0,шт,C,700.9,C,210.0,34.78,139.1,17.0
Раф декаф,370.0,C,1.0,шт,C,362.62,C,370.0,7.38,7.38,2.0
Американо декаф М,360.0,C,2.0,шт,C,342.91,C,180.0,8.55,17.09,5.0
Латте декаф альт.,360.0,C,1.0,шт,C,350.05,C,360.0,9.95,9.95,3.0
Дрип Микролот Tasty (85+) / 1 шт.,340.0,C,2.0,шт,C,340.0,C,170.0,0.0,0.0,
Доппио декаф,250.0,C,1.0,шт,C,241.46,C,250.0,8.54,8.54,3.0
Чай,123760.0,B,508.0,,B,118846.85,B,243.62,9.67,4913.15,4.0
Чай в стакан,28960.0,A,181.0,шт,A,27319.16,A,160.0,9.07,1640.84,6.0
Чай Облепиха,25200.0,A,90.0,шт,A,24384.53,A,280.0,9.06,815.47,3.0
Чай Апельсин,22400.0,A,80.0,шт,A,21215.75,A,280.0,14.8,1184.25,5.0
Чай Клюква,10080.0,A,36.0,шт,A,9777.21,A,280.0,8.41,302.79,3.0
Чай Глинтвейн,8400.0,A,30.0,шт,B,8032.95,A,280.0,12.24,367.05,4.0
Чайник Облепиховый,6000.0,B,10.0,шт,C,5987.2,B,600.0,1.28,12.8,0.0
Пуэр в стакан ШАР,5940.0,B,27.0,шт,B,5743.91,B,220.0,7.26,196.09,3.0
Чай Имбирный,5320.0,B,19.0,шт,B,5112.43,B,280.0,10.92,207.57,4.0
Чай в Чайник,5200.0,B,13.0,шт,C,5200.0,B,400.0,0.0,0.0,
Улун в стакан,3960.0,C,18.0,шт,B,3791.79,C,220.0,9.35,168.21,4.0
Чайник Имбирный,600.0,C,1.0,шт,C,583.2,C,600.0,16.8,16.8,3.0
Чайник Клюквенный,600.0,C,1.0,шт,C,598.72,C,600.0,1.28,1.28,0.0
Чайник Пуэр ШАР,600.0,C,1.0,шт,C,600.0,C,600.0,0.0,0.0,
Чайник Улун,500.0,C,1.0,шт,C,500.0,C,500.0,0.0,0.0,
Холодные напитки,86440.0,B,262.0,,B,77590.19,B,329.92,33.78,8849.81,10.0
Хорнет Б,20060.0,A,59.0,шт,A,17651.83,A,340.0,40.82,2408.17,12.0
Хорнет,14500.0,A,50.0,шт,A,13264.32,A,290.0,24.71,1235.68,9.0
Фраппучино,9880.0,A,26.0,шт,A,8756.64,A,380.0,43.21,1123.36,11.0
Айс Латте,6900.0,A,23.0,шт,A,5743.61,A,300.0,50.28,1156.39,17.0
Мохито,5950.0,A,17.0,шт,A,5465.91,A,350.0,28.48,484.09,8.0
Лимонад,4950.0,A,15.0,шт,A,4666.53,A,330.0,18.9,283.47,6.0
Молочный коктейль Б,4950.0,A,15.0,шт,A,4649.96,A,330.0,20.0,300.04,6.0
Эспрессо Тоник с лаймом Б,3740.0,B,11.0,шт,B,3160.18,B,340.0,52.71,579.82,16.0
Эспрессо Тоник с лаймом,3480.0,B,12.0,шт,B,3109.51,B,290.0,30.87,370.49,11.0
Матча айс альт.,2460.0,B,6.0,шт,B,2416.91,B,410.0,7.18,43.09,2.0
Капучино Альт. Холод,2340.0,B,6.0,шт,B,2093.57,B,390.0,41.07,246.43,11.0
Эспрессо тоник с сиропом Б,1700.0,B,5.0,шт,B,1431.94,C,340.0,53.61,268.06,16.0
Матча айс,1520.0,C,4.0,шт,C,1437.2,B,380.0,20.7,82.8,5.0
Чай Облепиха АЙС,1320.0,C,4.0,шт,C,1300.75,C,330.0,4.81,19.25,1.0
Американо АЙС,1120.0,C,4.0,шт,C,973.75,C,280.0,36.56,146.25,13.0
АЙС ТИ,660.0,C,2.0,шт,C,640.84,C,330.0,9.58,19.16,3.0
Эспрессо тоник с сиропом,580.0,C,2.0,шт,C,499.04,C,290.0,40.48,80.96,14.0
Чай Клюква АЙС,330.0,C,1.0,шт,C,327.7,C,330.0,2.3,2.3,1.0
Не кофе,48600.0,B,159.0,,C,41726.34,C,305.66,43.23,6873.66,14.0
Какао,24300.0,A,81.0,шт,A,20661.06,A,300.0,44.93,3638.94,15.0
Матча альт,7400.0,A,20.0,шт,A,6290.68,A,370.0,55.47,1109.32,15.0
Горячий шоколад,7360.0,B,23.0,шт,A,6413.13,A,320.0,41.17,946.87,13.0
Какао альт.,3800.0,B,10.0,шт,B,3335.84,B,380.0,46.42,464.16,12.0
Матча,2240.0,B,7.0,шт,C,1977.71,B,320.0,37.47,262.29,12.0
Сок стакан на розлив,1440.0,C,12.0,шт,B,1356.0,C,120.0,7.0,84.0,6.0
UNICAVA Горячий шоколад / Какао в стакан,1400.0,C,4.0,шт,C,1286.61,C,350.0,28.35,113.39,8.0
Спешлти Горячий шоколад UNICAVA,660.0,C,2.0,шт,C,405.31,C,330.0,127.35,254.69,39.0
Добавки,39880.0,C,865.0,,B,319.01,C,46.1,45.74,39560.99,99.0
Сироп / 20 гр,17100.0,A,285.0,шт,B,15653.36,A,60.0,5.08,1446.64,8.0
Молоко / 50 гр,16520.0,B,413.0,шт,A,-21476.0,C,40.0,92.0,37996.0,230.0
Орешки кедр / 8 гр,2450.0,B,35.0,шт,C,2450.0,C,70.0,0.0,0.0,
Лимон / 10 гр,2000.0,C,100.0,шт,B,2000.0,C,20.0,0.0,0.0,
Сливки / 50 гр,780.0,C,13.0,шт,C,708.4,C,60.0,5.51,71.6,9.0
Альтернативное молоко / 50 гр,630.0,C,7.0,шт,C,583.25,C,90.0,6.68,46.75,7.0
Мед / 15 гр,200.0,C,4.0,шт,C,200.0,C,50.0,0.0,0.0,
Маршмелоу / 6 гр,150.0,C,3.0,шт,C,150.0,C,50.0,0.0,0.0,
Мята / 2-3 лист.,50.0,C,5.0,шт,C,50.0,C,10.0,0.0,0.0,
Смузи и фреш,18609.0,C,50.0,,C,17419.18,C,372.18,23.8,1189.82,6.0
Фреш,10080.0,A,28.0,шт,A,9909.9,A,360.0,6.08,170.1,2.0
Смузи Клубника-банан,3192.0,A,8.0,шт,A,2341.25,B,399.0,106.34,850.75,27.0
Смузи Красный,3192.0,B,8.0,шт,B,3112.7,A,399.0,9.91,79.3,2.0
Смузи Зеленый,1746.0,C,5.0,шт,C,1665.91,C,349.2,16.02,80.09,5.0
Смузи Желтый,399.0,C,1.0,шт,C,389.42,C,399.0,9.58,9.58,2.0
Персонал,6836.0,C,179.0,,C,-578.3,C,38.19,41.42,7414.3,108.0
Кофе персонал,2750.0,A,55.0,шт,A,1696.89,C,50.0,19.15,1053.11,38.0
