22.04.2024","Общее количесто 22.04
(для сайта)","Тургенева 
12.05.2024","Самокиша 
12.05.2024","Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,Общее количесто,Тургенева ,Самокиша ,Луговая,Общее количесто,Тургенева ,Самокиша ,Луговая,Общее количесто
Аксессуары для кофе / Сопутка |  TASTY
Дрип Бразилия Суль-де-Минас 10 шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,8
Дрип Бурунди Нкизи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,4
Дрип Бэрри 50 шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,5,0,0,0,0
Дрип Бэрри 10 шт,Tasty coffee,1,10,1,9,10,6,9,3,9,1,8,0,4,4,4,1,1,0,1,1,6,5,3,5,0,3,0,0,0,0,0,0,0,0,6,3,6,2,1,2,1,1,1,1,1,0,16,2,12,6,18,8,5,13,7,4,11,6,2,8,2,5,7,2,0,2,1,0,0,1,1,0,0,1,0,0,,14,2,2,18,8,2,2,12,4,0,2,6,8,5,3,16,7,5,2,14,1,3,1,5,10,4,3,17
Дрип Бэрри 30 шт,Tasty coffee,,,,,,,,,,,,,,,5,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2,3,2,3,2,3,2,2,2,2,4,1,2,3,1,1,2,1,1,2,1,1,2,0,0,0,0,0,0,,0,0,0,,0,0,,0,1,2,3,0,1,2,3,3,1,2,6,2,0,0,2,8,7,5,20,7,4,3,14,8,2,2,12
Дрип Гватемала Сантьяго,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,7
Дрип Индонезия Лини Ява Фринса,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,5,0,0,0,0
Дрип Кения маунт 10 шт,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,8,2,10,5,2,3,10,5,2,3,10,5,0,5,11,3,3,17,11,2,3,16,11,1,2,14,8,2,2,12,2,2,2,6,0,1,1,2,3,1,1,5
Дрип Кения маунт 30 шт,Tasty coffee,1,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,8,3,4,15,8,2,4,14,2,2,2,6
Дрип Колумбия Анжело Соса 90 часов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1
Дрип Колумбия Декаф 50 шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,5,2,1,1,4
Дрип Колумбия Декаф 30 шт,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,4,0,2,1,3,0,1,1,2
Дрип Колумбия Декаф 10 шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,9
Дрип Колумбия Персик Хайро Арчила,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,3,3,11
Дрип Колумбия Уила 30 шт,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,5,2,2,1,5,1,0,1,2
Дрип Колумбия Уила 50 шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,4,1,0,0,1
Дрип Колумбия Уила 10 шт,Tasty coffee,0,3,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,5,5,4,4,4,4,4,3,3,3,3,3,3,6,2,2,4,0,2,2,0,0,0,10,0,10,8,2,10,6,2,2,10,6,2,2,10,4,1,5,4,0,2,6,4,0,2,6,4,0,1,5,3,0,1,4,3,1,2,6,1,0,1,2,5,2,4,11
Дрип Колумбия Эль Порвенир,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,6,0,0,0,0
