22.04.2024","Общее количесто 22.04
(для сайта)","Тургенева 
12.05.2024","Самокиша 
12.05.2024","Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,Общее количесто,Тургенева ,Самокиша ,Луговая,Общее количесто,Тургенева ,Самокиша ,Луговая,Общее количесто
Аксессуары для кофе / Сопутка |  TASTY
Кэнди 250,Tasty coffee,2,14,0,13,0,41,20,20,18,16,14,12,11,8,37,9,14,13,10,0,7,0,5,0,1,0,1,1,13,14,5,11,3,6,11,10,10,8,8,5,3,0,2,0,0,0,30,9,28,5,33,22,7,29,13,14,27,13,13,26,10,11,21,6,4,10,5,0,0,5,5,0,0,5,2,0,2,19,8,0,27,12,11,2,25,8,6,2,16,20,0,0,20,0,0,0,0,11,4,4,19,8,11,5,24
Натти 250,Tasty coffee,1,31,0,25,21,25,15,23,9,16,0,13,4,4,25,0,5,0,0,0,15,15,12,12,7,9,3,6,29,10,11,15,8,12,16,7,13,4,5,2,0,1,0,0,0,0,27,10,25,6,31,15,6,21,8,8,16,6,7,13,45,4,49,24,10,34,10,6,10,26,6,5,10,26,5,0,5,19,2,7,28,9,7,7,23,22,10,5,37,24,15,2,41,0,6,5,11,20,6,4,30,3,5,6,14
Перу Канчаке Пиура 250 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,1,0,0,1,0,0,0,0
Перу Монте Верде,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,,0,0,0,0
Руанда Кабуе 250 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,6,3,0,1,4,0,0,0,0
Руанда Кигали 250 гр,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,8,14,8,14,7,14,6,14,6,10,8,10,8,10,7,17,10,7,17,10,3,13,7,6,13,7,4,11,6,3,9,3,3,2,8,3,2,2,8,2,2,4,20,10,2,32,18,10,4,32,18,10,4,32,11,13,1,25,9,7,5,21,6,5,4,15,7,5,3,15
Фанки 250,Tasty coffee,8,9,8,7,6,2,4,2,3,2,3,2,3,1,25,0,11,13,10,12,10,11,9,11,8,11,6,11,6,11,5,8,5,7,4,4,4,2,4,1,2,3,2,0,1,0,1,0,0,0,,0,0,,0,0,,0,0,,24,0,24,13,10,23,9,9,4,22,9,9,4,22,9,9,18,9,7,4,20,9,6,4,19,7,6,3,16,7,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0
Флорал 250,Tasty coffee,0,8,0,3,5,25,5,25,1,25,0,25,11,11,11,9,4,4,4,0,16,12,16,12,16,11,13,10,42,10,37,5,33,2,13,15,10,13,10,12,9,11,7,5,3,2,31,0,17,9,26,16,7,23,11,8,19,9,5,14,21,18,39,13,12,25,4,8,5,17,4,4,5,17,0,3,3,12,6,3,21,0,6,5,11,0,12,3,15,19,10,2,31,0,4,13,17,18,6,5,29,4,3,7,14
Фрутти 250,Tasty coffee,24,0,21,0,17,0,13,0,6,5,5,4,4,4,4,1,1,2,1,0,12,12,12,12,12,12,12,12,42,12,41,10,41,10,23,24,21,22,21,20,19,15,19,11,12,5,10,2,7,3,10,7,0,7,3,0,3,2,0,2,20,10,30,19,5,24,9,9,5,23,9,9,5,23,8,8,16,28,12,3,43,25,10,6,41,24,5,4,33,25,20,2,47,4,2,9,15,0,0,2,2,3,2,1,6
Хани 250 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,13
Эфиопия гуджи 250,Tasty coffee,3,0,0,0,0,40,20,20,20,20,20,17,20,17,29,20,20,27,18,27,18,21,18,20,18,15,18,10,16,8,10,4,7,0,13,9,12,8,12,8,12,8,12,7,8,5,8,4,8,4,12,7,3,10,6,1,7,4,2,6,33,1,34,20,10,30,11,8,9,28,11,7,9,28,11,4,15,21,5,8,34,13,13,7,33,11,9,4,24,6,0,2,8,2,6,10,18,0,6,6,12,3,5,2,10
Эфиопия Иргачефф 250,Tasty coffee,6,24,2,23,22,20,20,20,19,20,15,19,14,17,15,11,6,4,4,1,17,15,15,14,14,11,13,8,43,6,29,10,29,5,38,5,21,16,19,11,16,11,15,8,8,8,7,7,7,1,8,5,0,5,3,1,4,3,0,3,32,7,39,22,11,33,12,11,9,32,12,10,9,32,12,7,19,31,9,9,49,23,15,8,46,21,10,6,37,33,6,3,42,0,5,10,15,23,7,5,35,14,10,5,29
Эфиопия Оромия 250,Tasty coffee,8,2,8,2,19,0,17,0,9,7,9,5,9,5,4,9,1,9,5,4,17,13,17,13,17,9,12,12,8,15,7,11,6,11,23,11,22,11,22,7,21,7,20,5,10,11,10,10,10,8,18,7,7,14,6,6,12,5,4,9,26,2,28,15,6,21,9,6,2,17,7,6,2,17,4,6,10,3,2,1,6,2,2,2,6,0,0,2,2,0,0,2,2,1,2,8,11,9,4,4,17,6,6,7,19
Ягодный джем 250 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,3,17
Неактуально
Бразилия Можиана 250,Tasty coffee,0,16,0,13,12,20,7,20,4,19,2,19,7,9,31,6,11,10,9,5,7,4,6,1,4,0,0,0,30,0,10,12,7,10,28,0,7,11,5,10,4,7,4,4,3,1,31,10,23,11,34,21,7,28,13,11,24,10,6,16,15,17,32,12,6,18,4,4,4,12,1,0,4,12,0,0,,15,0,3,18,7,2,5,14,24,10,3,37,33,14,3,50,0,0,0,0,0,0,0,0,0,0,0,0
Бразилия Трес-Понтас 250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Колумбия Лусиано Эспиноса,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,0,0,0,0
Колумбия Папайо Вилла Бетулия 250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,0,2,0,0,0,0
Колумбия Эль Индио,Tasty coffee,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,1,0,0,1,0,0,0,0
Эфиопия Мукера 72 часа 250 гр,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Эфиопия Хару Бедаме 250 гр,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Бразилия фанки ,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,18,5,23,14,4,18,6,9,15,4,7,11,28,7,35,18,12,30,12,9,5,26,11,7,5,26,5,6,11,4,0,5,9,2,1,4,7,17,7,3,27,9,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Гондурас Мойзес ,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,8,4,4,8,2,3,2,7,2,3,2,7,2,3,5,2,3,2,7,2,3,2,7,2,2,2,6,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0

ЗЕРНО  1кг   |  TASTY
Батч брю 1 кг,Tasty coffee,9,0,9,0,8,0,7,0,7,0,6,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,20,4,24,19,4,23,18,2,20,15,5,20,15,5,20,12,4,16,9,2,2,13,9,0,2,13,4,4,8,2,3,2,7,2,3,2,7,0,2,2,4,0,0,0,0,1,0,1,2,0,2,0,2,0,0,0,0
Бразилия Серрадо 1 кг,Tasty coffee,3,16,8,9,5,17,10,10,8,10,6,9,5,6,13,5,1,5,0,0,4,5,2,5,1,2,0,1,8,10,3,4,3,3,15,2,8,6,5,4,3,3,2,1,2,0,15,7,12,6,18,10,4,14,7,6,13,7,6,13,16,9,25,14,3,17,5,6,4,15,3,4,4,15,3,3,6,15,8,3,26,0,11,3,14,10,10,3,23,10,9,1,20,5,0,4,9,20,4,2,26,7,1,2,10
Брауни 1 кг ,Tasty coffee,,,,,,,,,,,,,,,,,,,,,11,12,10,11,7,10,9,8,10,8,6,6,5,6,3,5,2,5,3,4,3,4,3,4,1,3,1,3,1,2,3,1,2,3,1,2,3,0,0,0,6,6,12,4,3,7,4,3,0,7,3,2,0,7,2,2,4,0,1,0,1,0,1,0,1,6,2,0,8,7,6,1,14,0,2,1,3,9,4,1,14,2,0,1,3
Бэрри 1кг,Tasty coffee,10,0,7,0,13,0,12,10,9,9,7,7,4,2,10,0,0,0,0,0,12,12,10,12,7,11,6,9,15,7,11,4,9,3,23,5,13,12,11,12,11,12,10,10,10,9,20,8,20,7,27,18,6,24,17,5,22,13,3,16,7,6,13,3,4,7,3,3,0,6,2,2,0,6,1,0,1,18,8,0,26,5,11,4,20,1,10,3,14,11,10,2,23,12,8,3,23,6,3,2,11,4,7,2,13
Гватемала Фуэго 1 кг,Tasty coffee,5,0,5,0,4,0,4,0,4,0,4,0,2,2,8,0,4,4,4,4,4,4,4,3,3,1,1,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,3,10,7,3,10,5,5,10,5,5,10,5,5,10,5,4,9,3,4,2,9,3,4,2,9,3,4,7,3,4,2,9,3,3,2,8,0,0,2,2,0,1,0,1,8,6,0,14,8,4,0,12,7,3,2,12
Кения Найроби 1 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,2,10,5,0,2,7,5,2,3,10
Колумбия Богота 1 кг,Tasty coffee,5,16,7,13,6,22,17,11,11,10,9,10,4,10,10,2,0,0,0,0,12,12,12,11,5,10,7,8,7,7,0,3,0,3,27,3,14,13,14,12,13,12,5,11,4,9,12,7,12,7,19,6,7,13,5,7,12,3,7,10,22,7,29,14,9,23,10,9,3,22,10,6,3,22,9,5,14,15,7,2,24,10,8,4,22,0,1,3,4,9,6,0,15,6,4,3,13,17,3,0,20,9,1,3,13
Колумбия Декаф 1кг,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,8,2,10,6,2,2,10,6,2,2,10,6,2,8,6,2,2,10,6,2,2,10,5,2,2,9,2,2,2,6,0,0,0,0,4,2,1,7,1,2,1,4
Коста Рика Сан Хосе 1 кг,Tasty coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,3,3,3,3,2,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,4,3,7,4,3,7,4,3,0,7,4,3,0,7,4,3,7,6,5,0,11,4,5,2,11,3,5,2,10,1,4,2,7,2,1,2,5,1,0,2,3,3,2,1,6
Кэнди 1 кг,Tasty coffee,7,4,6,2,0,10,2,5,2,4,0,3,1,3,10,0,1,2,0,0,10,10,10,10,10,9,10,9,9,8,10,8,10,8,20,7,14,12,13,12,13,12,10,11,10,9,20,5,13,10,23,13,10,23,12,8,20,11,7,18,7,10,17,6,8,14,2,6,2,10,1,5,2,10,1,3,4,0,2,1,3,0,2,0,2,6,4,0,10,7,5,0,12,3,2,4,9,6,2,2,10,13,4,3,20
Натти 1кг,Tasty coffee,0,9,0,6,7,14,4,11,0,7,0,7,0,3,8,0,0,0,0,0,7,12,0,10,5,1,4,1,17,16,11,10,9,8,6,3,5,1,1,3,1,1,0,0,0,0,21,0,9,8,17,6,7,13,6,6,12,4,4,8,17,5,22,7,7,14,4,5,2,11,2,5,2,11,1,5,6,17,3,1,21,6,9,2,17,6,7,1,14,6,11,0,17,0,0,1,1,15,8,1,24,12,3,3,18
Руанда Кигали 1кг,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,4,3,7,4,3,0,7,4,3,0,7,4,3,7,3,3,0,6,3,3,0,6,2,3,0,5,0,3,0,3,11,7,2,20,10,5,2,17,11,3,2,16
Флорал 1кг,Tasty coffee,0,12,1,9,1,25,9,13,7,13,5,12,5,8,25,0,9,13,9,7,9,7,7,7,7,7,4,6,1,3,0,1,0,0,17,0,7,5,8,3,5,2,5,0,2,0,4,4,1,4,5,0,2,2,0,2,2,0,0,0,12,6,18,10,4,14,6,3,4,13,2,1,4,13,0,0,0,17,8,4,29,12,10,4,26,9,1,4,14,6,6,1,13,15,4,4,23,35,0,0,35,3,0,1,4
Фрутти 1кг,Tasty coffee,3,5,3,4,1,4,1,4,0,4,0,4,1,2,10,1,5,2,2,2,1,1,1,1,1,0,1,0,11,10,9,10,9,10,4,13,5,12,4,10,4,10,2,9,2,8,2,6,2,4,6,2,4,6,2,2,4,1,1,2,12,0,12,9,3,12,6,3,3,12,6,3,3,12,6,3,9,4,3,3,10,4,3,3,10,9,0,3,12,9,2,1,12,8,2,2,12,3,3,1,7,0,0,0,0
Хани 1 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,1
Эфиопия Гуджи  1 кг,Tasty coffee,0,0,0,0,4,9,1,9,1,9,0,9,3,5,15,1,8,6,7,6,7,5,7,5,5,3,4,4,3,3,2,3,1,3,7,3,7,2,5,3,4,3,0,3,0,2,0,2,0,2,2,0,2,2,0,1,1,0,1,1,16,1,17,9,5,14,6,4,3,13,6,4,3,13,6,3,9,6,0,3,9,3,3,3,9,3,4,3,10,1,6,1,8,5,2,3,10,3,1,3,7,3,1,1,5
Эфиопия Иргачефф 1кг,Tasty coffee,6,0,5,0,13,9,11,9,9,9,3,9,4,6,26,0,13,9,13,8,18,10,17,9,17,7,11,11,28,11,18,12,16,9,27,6,17,15,17,14,16,12,16,7,11,7,10,7,10,5,15,10,5,15,8,7,15,7,5,12,30,0,30,21,9,30,15,6,6,27,14,5,6,27,2,3,5,16,4,2,22,9,5,5,19,16,8,5,29,12,11,1,24,17,10,7,34,10,3,6,19,3,2,4,9
Эфиопия Оромия 1кг,Tasty coffee,0,0,0,0,0,10,4,6,4,6,3,6,3,5,5,3,3,4,3,4,3,4,3,4,3,3,3,1,3,1,0,0,0,0,10,0,5,5,5,5,5,3,5,3,5,2,4,2,3,1,4,3,1,4,1,1,2,1,0,1,7,0,7,4,0,4,3,0,0,3,3,0,0,3,1,1,2,4,1,0,5,3,2,0,5,2,1,0,3,0,0,0,0,7,7,3,17,5,0,1,6,2,2,0,4
Ягодный джем 1 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,2,16
Неактуально

Бразилия Можиана 1кг,Tasty coffee,4,0,2,0,4,18,11,8,9,6,6,4,4,4,12,3,4,3,1,0,5,3,5,3,4,3,3,1,13,10,11,7,11,5,0,7,0,3,1,1,0,0,0,0,0,0,11,4,7,7,14,7,6,13,7,4,11,6,1,7,13,6,19,13,6,19,9,5,4,18,9,3,4,18,7,5,12,6,1,4,11,4,0,4,8,0,0,4,4,9,11,1,21,0,0,0,0,0,0,0,0,0,0,0,0
Бразилия фанки 1кг,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,6,2,8,4,2,2,8,3,2,2,8,3,2,5,2,2,2,6,2,2,2,6,4,5,2,11,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Китай Симао 1 кг,Tasty coffee,0,7,0,7,0,5,3,2,3,1,3,1,2,2,2,1,0,0,0,0,5,5,5,5,5,5,5,1,15,0,7,8,7,8,4,10,3,9,3,8,3,7,3,5,3,3,3,0,1,0,1,1,0,1,0,0,0,0,0,0,8,1,9,4,3,7,4,3,0,7,4,2,0,7,4,2,6,16,3,0,19,8,7,4,19,8,4,4,16,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Зерно бункер   |  TASTY
Зерно бункер Флорал,,"22,433 кг","34,94 кг","11,99","26,365","41,126","	70,404 кг","28,488","60,392","15,676","50,862","7,385","34,8","9,3","7,5","159,871","0,217","44,181","42,916","31,258","28,625","74,251","72,033","63,934","62,217","53,19","52,648","41,803","41,456","130,899","31,875","68,49","50,452","56,645","39,503","112,936","37,788","101,873","25,515","89,585","16,677","48,853","39,763","36,568","28,756","24,855","19,07","115,868","18,322","71,165","34,15",,"59,094","22,957",,"46,688","13,883",,"26,669","10,329",,"118,743","23,882",,"51,396","25,409",,"21,694","13,27","15,989",,"2,563","4,398","15,989",,"2,563","4,398",,"19,532","7,915","17,142","44,589","5,176",0,"12,627","17,803","155,611","36,85",0,"17,803","147,68","38,752","7,679","17,803",47,13,7,67,54,19,15,88,57,20,22,99
Зерно бункер Батч-брю ,,"0,037 гр ","0,025 гр ","0,087
(Никарагуа Марагоджип)","0,019","0,023","	0,025 кг","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023","0,025","0,023",,"0,025","0,023",,"0,025","0,811",,"0,025","1,587",,"0,025","1,416",,"0,025","1,078",,"0,025","0,773",0,,"0,025","1,292",0,,"0,025","1,292",,"0,025","1,042",0,,"0,025","0,705",0,,"0,025","0,767",0,,"0,025","0,32",0,,0,2,0,,0,"0,7",0,,0,"0,4",0
Зерно бункер Декаф ,,"0,162 гр ","0,164 гр ","0,153","0,131","0,15","	0,060 кг","0,117","0,004","0,084","0,195","0,058","0,076",0,0,"0,228","0,25","0,218","0,020гр","0,122","0,036","0,074","0,196","0,022","0,087","0,24","0,184","0,211","0,059","0,162","0,192","0,06","0,096","0,215","0,026","0,193","0,031","0,122","0,19","0,049","0,15","0,214","0,059","0,12","0,204","0,044","0,172","1,989","0,059","0,977","0,957",,"0,831","0,801",,"0,722","0,549",,"0,62","0,434",,"0,456","0,312",,"0,118","0,007",,"0,243","0,223",0,,"0,089","0,159",0,,"0,195","0,159",,"0,107","0,204","0,08",,"0,208","0,181","0,023",,"0,99","0,132","0,274",,"0,747","0,858","0,121",,0,0,0,,"0,6","0,9","0,2",,"0,5","0,6","0,2",у
Какао ристора (Закуп),,,,,,"0,556","	0,500 кг","0,222","0,002","0,061",0,"11,856","11,588","11,364",11,10 300,11 000,"8,743","9,787","8,138","9,42","7,697","9,174","7,168","8,834","6,708","8,431","6,109","8,637","5,525","7,673","4,4","7,004","3,586","6,671","1,558","5,784","1,079","5,607","3,787","3,211","2,18","3,015","1,66","2,647","1,009","2,271","0,55","1,95","18,024","1,67",,"17,489","1,373",,"12,956","5,2",,"12,5","4,925",,"11,54","4,506",,"9,904","3,32",,"4,314","2,939",3,,"5,916","2,481",3,,"5,671","2,481",,"4,896","1,784","2,47","9,15","4,596","1,529","2,316","8,441",4,"1,21","2,072","8,441","1,398","0,867","1,225","8,441",4,3,1,8,3,3,1,7,"1,9",2,2,"5,9"
Какао / Добавки   |  TASTY
Какао 350 грамм TASTY,Tasty coffee,0,7,0,7,0,7,0,6,3,2,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,1,3,1,2,0,0,1,0,1,0,0,0,0,0,0,7,3,7,3,10,7,3,10,7,3,10,7,3,10,7,3,10,5,2,7,3,2,2,7,3,2,2,7,3,2,5,3,2,2,7,3,2,1,6,3,2,1,6,1,2,1,4,2,1,1,4,2,0,1,3,0,0,0,0
Какао без Сахара 250 грамм TASTY,Tasty coffee,0,8,0,7,0,6,0,6,3,3,2,3,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,3,4,1,1,3,0,3,2,1,2,1,2,1,2,1,2,0,2,0,2,2,0,2,2,0,2,1,1,2,3,1,4,1,2,3,1,2,0,3,1,2,0,3,1,2,3,1,2,0,3,1,1,1,3,1,1,1,3,0,1,1,2,1,2,1,4,0,2,0,2,0,0,0,0
Молочный горячий шоколад Tasty,Tasty coffee,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,3,2,1,3,2,1,3,2,1,3,7,1,8,5,3,8,2,3,2,7,2,3,2,7,2,3,5,2,2,0,4,2,0,2,4,2,0,1,3,2,0,0,2,5,2,2,9,5,0,2,7,1,0,2,3
Тёмный горячий шоколад с перцем 70% Tasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1
Темный шоколад 250 гр TASTY,Tasty coffee,1,2,1,2,1,2,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,5,5,5,5,5,5,5,4,5,4,4,4,4,8,4,4,8,4,4,8,4,4,8,4,4,8,3,4,7,2,4,1,7,1,4,1,7,1,4,5,0,4,1,5,0,3,1,4,0,2,1,3,0,2,1,3,1,1,2,4,0,0,2,2,5,3,2,10
Кофе в банках   |  TASTY
Комбуча на каскаре,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,30,9,6,45,0,0,3,3
Кола в банке,Tasty coffee,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,0,0,0,0,0,14,8,22,14,7,21,12,3,15,12,2,0,14,12,2,0,14,6,8,,5,5,0,10,2,5,2,9,2,3,0,5,0,0,1,1,1,0,4,5,1,2,0,3,0,1,1,2
Каскара в банке,Tasty coffee,1,4,1,4,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,14,0,14,7,4,11,7,4,11,5,4,9,5,2,7,4,1,0,5,4,0,0,5,2,2,,1,1,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Латте в банке ,Сварщица,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,0,0,0,0,0,7,4,11,5,4,9,5,3,8,5,2,0,7,4,1,0,7,2,2,,2,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Фильтр кофе в банке,Сварщица,4,0,4,0,4,0,4,0,4,0,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,0,0,0,0,0,6,4,10,4,4,8,4,2,6,4,1,0,5,4,0,0,5,1,3,,1,3,0,4,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Матэ 
Матэ Amanda Tradicional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,1,2,0,2,0,2,2,0,2,1,0,1,1,0,1,1,0,1,1,0,1,1,0,,0,1,0,,0,1,0,0,1,0,,0,1,0,,0,1,0,,0,1,0,,0,1,0,,0,1,0,,0,1,0,,0
Матэ Canarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,0,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,,2,0,2,,2,0,2,2,0,2,,2,0,2,,2,0,2,,2,0,2,,2,0,2,,2,0,2,,2,0,2,,2
Матэ Kurupi Katuava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,,1,0,1,,1,0,1,1,0,1,,1,0,1,,1,0,1,,1,0,1,,1,0,1,,1,0,1,,1,0,1,,1
Матэ Pipore Tradicional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,4,3,4,3,4,3,7,4,3,7,3,3,6,3,2,5,3,1,4,3,1,4,3,1,,1,3,1,,1,3,1,1,3,1,,1,3,1,,1,3,1,,1,3,1,,1,3,1,,1,3,1,,1,3,1,,1
Матэ Playadito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,2,3,2,3,2,3,5,1,2,3,1,2,3,1,1,2,1,1,2,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
Матэ Taragui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1
Чай 100 гр / 250 гр   |  TASTY
